,Name,Model_Num,N_models,Num_features,Distance_Num,Phi_Val
113,direct_search_100_200_500,113,250,100,7,-1.0001574754714966
114,direct_search_100_200_500,114,250,100,78,-0.3884849548339844
115,direct_search_100_200_500,115,250,100,1,-0.113514244556427
116,direct_search_100_200_500,116,250,100,7,-0.008045949041843414
117,direct_search_100_200_500,117,250,100,16,0.4101649522781372
118,direct_search_100_200_500,118,250,100,19,0.7875556349754333
119,direct_search_100_200_500,119,250,100,57,1.6661969423294067
120,direct_search_100_200_500,120,250,100,1,-0.21032768487930298
121,direct_search_100_200_500,121,250,100,38,0.13845886290073395
122,direct_search_100_200_500,122,250,100,6,0.1564321368932724
123,direct_search_100_200_500,123,250,100,54,1.1764342784881592
124,direct_search_100_200_500,124,250,100,7,1.5766735076904297
125,direct_search_100_200_500,125,250,100,2,-0.12296339869499207
126,direct_search_100_200_500,126,250,100,3,0.27715376019477844
127,direct_search_100_200_500,127,250,100,83,0.4457991123199463
128,direct_search_100_200_500,128,250,100,27,0.39893049001693726
129,direct_search_100_200_500,129,250,100,11,0.469671368598938
130,direct_search_100_200_500,130,250,100,44,-0.615492582321167
131,direct_search_100_200_500,131,250,100,30,0.768338680267334
132,direct_search_100_200_500,132,250,100,11,-0.38111862540245056
133,direct_search_100_200_500,133,250,100,25,1.343962550163269
134,direct_search_100_200_500,134,250,100,8,0.48405027389526367
135,direct_search_100_200_500,135,250,100,31,-1.446371078491211
136,direct_search_100_200_500,136,250,100,69,1.417831540107727
137,direct_search_100_200_500,137,250,100,8,-0.16267363727092743
138,direct_search_100_200_500,138,250,100,16,1.122723937034607
139,direct_search_100_200_500,139,250,100,44,-0.4979855418205261
140,direct_search_100_200_500,140,250,100,2,0.21385225653648376
141,direct_search_100_200_500,141,250,100,11,-0.4344996511936188
142,direct_search_100_200_500,142,250,100,1,0.07598746567964554
143,direct_search_100_200_500,143,250,100,10,-1.3786042928695679
144,direct_search_100_200_500,144,250,100,2,0.20239907503128052
145,direct_search_100_200_500,145,250,100,41,0.44662463665008545
146,direct_search_100_200_500,146,250,100,5,-0.3923775553703308
147,direct_search_100_200_500,147,250,100,23,0.6921902894973755
148,direct_search_100_200_500,148,250,100,23,-1.1291005611419678
149,direct_search_100_200_500,149,250,100,6,-0.39363664388656616
150,direct_search_100_200_500,150,250,100,61,0.40826913714408875
151,direct_search_100_200_500,151,250,100,24,0.3198828101158142
